club_name,course_type,yardage,all_yardages,source_url,note
Glen Gorse Golf Club,parkland,6751,6751 6294 5681 5414,https://www.glengorsegolfclub.co.uk/,several yardages — check which tee
Gloucester Golf Club,,,,https://www.gloucestergolf.com/,no yardage found
Golf Kingdom,,,,https://golfkingdom.net,no yardage found
Goring & Streatley Golf Club,parkland,6355,6355 6008,https://www.goringgolf.co.uk/the-course/,several yardages — check which tee
Gosport & Stokes Bay Golf Course,,,,https://www.gosportandstokesbaygolfclub.co.uk,no yardage found
Great Barr Golf Club,parkland,,,https://www.greatbarrgolfclub.co.uk/visitors/,no yardage found
Great Hadham Golf Course,meadowland,6850,6850,https://www.greathadham.co.uk/,
Great Yarmouth and Caister Golf Club,,,,https://www.caistergolf.co.uk/,no yardage found
Greetham Valley Golf Course (Academy),,,,https://golf.greethamvalley.co.uk,no yardage found
Greetham Valley Golf Course (Lakes),,,,https://golf.greethamvalley.co.uk,no yardage found
Greetham Valley Golf Course (Valley),,,,https://golf.greethamvalley.co.uk,no yardage found
Guildford Golf Club,downland,6160,6160 6117,https://www.guildfordgolfclub.co.uk/,types seen: downland/links; several yardages — check which tee
Hainault Forest Golf Club (The London),,,,https://www.hainaultforestgolfclub.co.uk,no yardage found
Hainault Forest Golf Club (The Old),,,,https://www.hainaultforestgolfclub.co.uk,no yardage found
Hallowes Golf Club,parkland,6310,6310 6060 5679,https://www.hallowesgolfclub.co.uk/,several yardages — check which tee
Ham Manor,parkland,6068,6068 5689 4137,https://www.hammanor.co.uk/,several yardages — check which tee
Hampton Court Palace Golf Club,parkland,6514,6514 6500,https://www.hamptoncourtgolf.co.uk/,several yardages — check which tee
Hamptworth Golf & Country Club,,,,https://www.hamptworthgolf.co.uk,no yardage found
Harpenden Golf Course,parkland,6430,6430,https://www.harpendengolfclub.co.uk/,
Hatchford Brook Golf Course (18 Holes),,,,https://www.mytimeactive.co.uk/golf/centres/hatchford-brook/default.aspx,no yardage found
Hayling Golf Club,links,6515,6515,https://www.haylinggolf.co.uk/,
Haywards Heath,parkland,,,https://www.haywardsheathgolfclub.co.uk/,no yardage found
Hellidon Lakes Golf Club (The Hellidon),parkland,,6187,https://hellidonlakeshotel.co.uk/,"hand: cleared, the page gave one yardage for all of this club's courses"
Hellidon Lakes Golf Club (The Lakes),parkland,,6187,https://hellidonlakeshotel.co.uk/,"hand: cleared, the page gave one yardage for all of this club's courses"
Hellidon Lakes Golf Club (The Valley),parkland,,6187,https://hellidonlakeshotel.co.uk/,"hand: cleared, the page gave one yardage for all of this club's courses"
Henbury Golf Club,,5979,5979 5728 5716 5535 5495 5489,https://www.henburygolfclub.co.uk/hole_1,several yardages — check which tee
Hendon Golf Course,,6227,6227,https://www.hendongolf.com/,
Henley Golf Club,,,,https://www.henleygc.com,no yardage found
Hever Castle Golf Club (Championship),,,,https://www.hevercastle.co.uk/golf/,no yardage found
Hever Castle Golf Club (Princes),,,,https://www.hevercastle.co.uk/golf/,no yardage found
High Elms Golf Course (18 Holes),,,,https://www.hegc.org/home/index.php,no yardage found
High Elms Golf Course (9 Holes),,,,https://www.hegc.org/home/index.php,no yardage found
High Post Golf Club,downland,6031,6031 5753 5678,https://www.highpostgolfclub.co.uk/course_info,several yardages — check which tee
Highcliffe Castle Golf Club,,,,https://www.highcliffecastlegolfclub.co.uk,no yardage found
Hill Barn Golf Club,downland,,,https://www.hillbarngolf.com/the-course,types seen: downland/parkland; no yardage found
Hinksey Heights Golf Course,,,,https://www.oxford-golf.co.uk/,no yardage found
Hockley Golf Club,downland,,,https://www.hockleygolfclub.com/,no yardage found
Hollinwell,heathland,7250,7250 6000,https://hollinwell.co.uk/,several yardages — check which tee
Holsworthy Golf Club,parkland,,,https://www.holsworthygolfclub.co.uk/,no yardage found
Holtye Golf Club,,,,https://www.holtye.com,no yardage found
Honiton Golf Club,parkland,5672,5672 5498 5401,https://www.honitongolfclub.co.uk/,several yardages — check which tee
Horsham Golf Club,,,,https://horshamgolf.co.uk,no yardage found
Hurtmore Golf Club,,,,https://www.hurtmore-golf.co.uk/,no yardage found
Ifield Golf and Country Club,parkland,6319,6319,https://www.ifieldgolf.com/,
Illfracombe Golf Club,,,,https://ilfracombegolfclub.com/,no yardage found
Ingrebourne Links Golf Course,parkland,,,https://ingrebournelinks.com/,types seen: parkland/links; no yardage found
Ipswich Golf Club,heathland,,,https://ipswichgolfclub.com/,no yardage found
Isle of Purbeck Golf Course (Dene),heathland,,4014,https://www.purbeckgolf.co.uk/,"hand: cleared, the page gave one yardage for all of this club's courses"
Isle of Purbeck Golf Course (Purbeck),heathland,,4014,https://www.purbeckgolf.co.uk/,"hand: cleared, the page gave one yardage for all of this club's courses"
Ivinghoe Golf Club,parkland,,,https://ivinghoegolfclub.co.uk/,no yardage found
JCB Golf & Country Club,,,,https://www.jcbgolfandcountryclub.com,no yardage found
Kenilworth Golf Club,parkland,6053,6053 5617,https://www.kenilworthgolfclub.co.uk/,several yardages — check which tee
Kilworth Springs,,,,https://www.kilworthsprings.co.uk/,no yardage found
Kings Hill Golf Club,heathland,,,https://kingshillgolf.com/,types seen: heathland/links; no yardage found
Kingsthorpe Golf Course,parkland,5854,5854,https://www.kingsthorpe-golf.co.uk/,
Kingswood Golf & Country Club,parkland,6900,6900,https://www.kingswood-golf.co.uk/,
Kirtlington Golf Club,,,,https://members.kirtlingtongolfclub.com,no yardage found
Kirtlington Golf Club (Blenheim),,,,https://members.kirtlingtongolfclub.com,no yardage found
Knole Park,,6669,6669 6480 6205 5907 5478,https://www.knoleparkgolfclub.co.uk/the_course_overview,several yardages — check which tee
Lamberhurst,parkland,6448,6448,https://www.lamberhurstgolfclub.com/,
Langley Park Golf Course,,6477,6477 6311 6071 5861 5082,https://www.langleyparkgolf.co.uk/the_course_overview,several yardages — check which tee
Lanhydrock Hotel & Golf Club (1st Tee),parkland,6078,6078,https://www.lanhydrockhotel.com/,
Launceston Golf Club,parkland,6385,6385 5682,https://www.launcestongolfclub.co.uk/the-course/course-overview/,several yardages — check which tee
Lea Marston Golf Course,,,,https://www.leamarstonhotel.co.uk/,no yardage found
Lee-on-the-Solent Golf Course,heathland,5911,5911 5752 5656 5594 5471 5423,https://www.leegolf.co.uk/,types seen: heathland/parkland; several yardages — check which tee
Leeds Castle Golf Course,parkland,,,https://www.leeds-castle.com/,no yardage found
Leighton Buzzard Golf Club,parkland,6032,6032 5776 5535,https://www.lbgc.co.uk/golf-course-guide,several yardages — check which tee
Lewes Golf Club,downland,,,https://www.lewesgolfclub.co.uk/,no yardage found
Lickey Hills Golf Course (18 Holes),,,,https://www.mytimeactive.co.uk/locations/lickey-hills-golf-course,no yardage found
Lilley Brook Golf Course,parkland,6212,6212,https://www.lilleybrook.co.uk/,
Limpsfield Chart Golf Club,heathland,5736,5736 5481 5289 5205 5127,https://www.limpsfieldchartgolf.co.uk/course_tour,several yardages — check which tee
Lindfield Golf Course,parkland,5957,5957,https://www.lindfieldgolfclub.co.uk/,
Lingfield Park Golf Course,,,,https://www.lingfieldpark.co.uk/golf/,no yardage found
Little Aston Golf Club,parkland,6772,6772,https://www.littleastongolf.co.uk/,
Little Hay Golf Complex,,,,https://littlehaygolf.co.uk/,no yardage found
Little Hay Golf Complex (Pitch & Putt),,,,https://littlehaygolf.co.uk/,no yardage found
Littlehampton Golf Club,links,6226,6226 5864 5638 5615 4372,https://www.littlehamptongolf.co.uk/,several yardages — check which tee
London Club,downland,,,https://londongolf.co.uk/,no yardage found
Long Ashton Golf Club,parkland,,,https://www.longashtongolfclub.co.uk/,no yardage found
Longcliffe Golf Club,heathland,6612,6612,https://www.longcliffegolf.co.uk/course-overview,
Lullingstone Park Golf Course (Castle Course),parkland,,6725,https://everyonegolf.com/venues/lullingstone-park-golf-course/,"hand: cleared, the page gave one yardage for all of this club's courses"
Lullingstone Park Golf Course (Valley Course),parkland,,6725,https://everyonegolf.com/venues/lullingstone-park-golf-course/,"hand: cleared, the page gave one yardage for all of this club's courses"
Lydd Golf Club,,6629,6629 6596 6300 5779,https://www.lyddgolfclub.co.uk/,several yardages — check which tee
Lyme Regis Golf Club (1st Tee),clifftop,6264,6264,https://www.lymeregisgolfclub.co.uk/,
